id;global_score;agregate_count;tourist-atraction;opinion
381;1;857;Sagrada Familia;I don't like it
382;8;764;Hotel Wella;I like it
383;4;269;Sagrada Familia;I hate it
384;9;830;Sagrada Familia;I love it
385;10;771;Hotel Wella;I love it
386;10;207;Sagrada Familia;I like it
387;6;682;Park Güell;I like it
388;1;496;Sagrada Familia;I hate it
389;8;678;Hotel Wella;I love it
390;9;605;Hotel Wella;I love it
391;8;400;Park Güell;I like it
392;1;768;Hotel Wella;I hate it
393;5;730;Sagrada Familia;I love it
394;3;772;Park Güell;I hate it
395;6;858;Sagrada Familia;I like it
396;4;723;Park Güell;I don't like it
397;2;782;Hotel Wella;I don't like it
398;3;97;Park Güell;I hate it
399;4;328;Park Güell;I hate it
400;2;207;Sagrada Familia;I don't like it
401;10;916;Park Güell;I love it
402;7;936;Park Güell;I like it
403;7;567;Park Güell;I like it
404;1;649;Park Güell;I hate it
405;5;391;Sagrada Familia;I love it
406;4;88;Park Güell;I don't like it
407;8;964;Sagrada Familia;I like it
408;5;975;Park Güell;I like it
409;5;205;Sagrada Familia;I love it
410;4;883;Park Güell;I don't like it
411;1;494;Sagrada Familia;I hate it
412;7;333;Hotel Wella;I like it
413;7;750;Sagrada Familia;I like it
414;1;721;Sagrada Familia;I hate it
415;7;48;Hotel Wella;I like it
416;4;94;Hotel Wella;I don't like it
417;3;189;Hotel Wella;I don't like it
418;4;885;Sagrada Familia;I hate it
419;6;608;Park Güell;I like it
420;10;263;Sagrada Familia;I like it
421;7;761;Sagrada Familia;I like it
422;2;642;Sagrada Familia;I don't like it
423;10;768;Park Güell;I love it
424;2;772;Park Güell;I don't like it
425;9;56;Park Güell;I like it
426;3;1000;Park Güell;I don't like it
427;1;929;Park Güell;I don't like it
428;9;338;Park Güell;I love it
429;6;701;Park Güell;I love it
430;1;841;Park Güell;I hate it
431;10;973;Park Güell;I like it
432;8;595;Sagrada Familia;I love it
433;10;765;Park Güell;I like it
434;8;628;Park Güell;I like it
435;4;259;Sagrada Familia;I hate it
436;2;918;Hotel Wella;I don't like it
437;4;1000;Hotel Wella;I hate it
438;4;519;Sagrada Familia;I don't like it
439;8;843;Hotel Wella;I love it
440;8;866;Sagrada Familia;I like it
441;7;602;Sagrada Familia;I love it
442;6;356;Park Güell;I like it
443;6;808;Park Güell;I love it
444;6;268;Park Güell;I love it
445;3;385;Sagrada Familia;I don't like it
446;1;257;Sagrada Familia;I hate it
447;10;156;Sagrada Familia;I like it
448;7;8;Park Güell;I love it
449;6;344;Sagrada Familia;I love it
450;7;192;Sagrada Familia;I like it
451;2;124;Park Güell;I hate it
452;9;96;Sagrada Familia;I love it
453;9;731;Park Güell;I like it
454;2;419;Park Güell;I hate it
455;5;268;Park Güell;I love it
456;5;739;Sagrada Familia;I love it
457;4;268;Park Güell;I hate it
458;3;215;Park Güell;I don't like it
459;2;890;Park Güell;I hate it
460;8;248;Park Güell;I love it
461;5;120;Park Güell;I love it
462;1;654;Hotel Wella;I hate it
463;7;499;Sagrada Familia;I love it
464;8;663;Park Güell;I like it
465;9;480;Hotel Wella;I like it
466;10;651;Sagrada Familia;I love it
467;3;478;Park Güell;I hate it
468;2;462;Sagrada Familia;I hate it
469;6;6;Hotel Wella;I love it
470;2;685;Park Güell;I hate it
471;5;277;Hotel Wella;I like it
472;1;488;Sagrada Familia;I hate it
473;4;810;Hotel Wella;I don't like it
474;10;751;Sagrada Familia;I love it
475;5;790;Hotel Wella;I love it
476;3;180;Hotel Wella;I don't like it
477;2;769;Sagrada Familia;I don't like it
478;1;271;Sagrada Familia;I don't like it
479;2;197;Hotel Wella;I hate it
480;6;889;Hotel Wella;I love it
481;4;685;Park Güell;I hate it
482;10;117;Hotel Wella;I like it
483;2;106;Sagrada Familia;I don't like it
484;3;914;Park Güell;I don't like it
485;9;272;Park Güell;I love it
486;4;217;Hotel Wella;I don't like it
487;10;125;Hotel Wella;I like it
488;1;936;Hotel Wella;I hate it
489;3;663;Sagrada Familia;I hate it
490;5;107;Hotel Wella;I like it
491;2;57;Hotel Wella;I don't like it
492;3;308;Hotel Wella;I hate it
493;5;713;Sagrada Familia;I like it
494;5;715;Sagrada Familia;I love it
495;2;724;Hotel Wella;I hate it
496;7;256;Sagrada Familia;I love it
497;3;654;Hotel Wella;I don't like it
498;2;866;Hotel Wella;I hate it
499;6;177;Sagrada Familia;I love it
500;3;487;Hotel Wella;I don't like it
501;6;398;Hotel Wella;I love it
502;4;594;Park Güell;I hate it
503;9;613;Sagrada Familia;I love it
504;2;91;Park Güell;I don't like it
505;8;921;Hotel Wella;I love it
506;1;902;Park Güell;I don't like it
507;9;669;Park Güell;I love it
508;10;374;Park Güell;I like it
509;4;789;Sagrada Familia;I don't like it
510;7;942;Park Güell;I love it
511;2;520;Hotel Wella;I hate it
512;6;807;Park Güell;I love it
513;10;270;Park Güell;I like it
514;1;691;Hotel Wella;I hate it
515;8;135;Park Güell;I like it
516;4;274;Hotel Wella;I don't like it
517;2;795;Sagrada Familia;I don't like it
518;6;984;Sagrada Familia;I like it
519;8;315;Park Güell;I love it
520;8;609;Sagrada Familia;I like it
521;6;236;Hotel Wella;I love it
522;4;701;Hotel Wella;I hate it
523;7;287;Hotel Wella;I like it
524;4;985;Park Güell;I don't like it
525;6;746;Park Güell;I like it
526;1;35;Sagrada Familia;I hate it
527;6;611;Hotel Wella;I like it
528;9;499;Park Güell;I like it
529;2;2;Hotel Wella;I hate it
530;3;425;Park Güell;I don't like it
531;8;744;Hotel Wella;I love it
532;9;459;Park Güell;I love it
533;10;509;Park Güell;I like it
534;6;472;Park Güell;I love it
535;2;342;Sagrada Familia;I don't like it
536;3;830;Hotel Wella;I don't like it
537;6;62;Sagrada Familia;I love it
538;8;33;Sagrada Familia;I like it
539;8;992;Hotel Wella;I like it
540;2;144;Park Güell;I hate it
541;10;92;Sagrada Familia;I love it
542;6;314;Hotel Wella;I love it
543;10;118;Park Güell;I love it
544;7;746;Sagrada Familia;I love it
545;6;286;Hotel Wella;I love it
546;10;59;Sagrada Familia;I love it
547;9;32;Hotel Wella;I like it
548;10;200;Hotel Wella;I like it
549;10;615;Sagrada Familia;I like it
550;5;523;Hotel Wella;I love it
551;9;729;Sagrada Familia;I like it
552;8;602;Park Güell;I love it
553;2;593;Hotel Wella;I hate it
554;6;42;Sagrada Familia;I love it
555;3;201;Park Güell;I don't like it
556;9;552;Sagrada Familia;I love it
557;7;785;Sagrada Familia;I like it
558;5;112;Hotel Wella;I love it
559;10;266;Sagrada Familia;I like it
560;10;332;Hotel Wella;I like it
561;2;881;Park Güell;I hate it
562;4;926;Hotel Wella;I don't like it
563;1;277;Sagrada Familia;I don't like it
564;7;759;Sagrada Familia;I love it
565;7;528;Sagrada Familia;I like it
566;8;740;Sagrada Familia;I like it
567;8;71;Park Güell;I love it
568;10;24;Park Güell;I like it
569;10;1;Hotel Wella;I like it
570;1;159;Sagrada Familia;I hate it
571;9;633;Sagrada Familia;I like it
572;5;879;Park Güell;I like it
573;6;519;Park Güell;I love it
574;3;692;Hotel Wella;I hate it
575;6;420;Park Güell;I like it
576;3;89;Hotel Wella;I hate it
577;9;728;Sagrada Familia;I like it
578;8;392;Park Güell;I love it
579;5;353;Hotel Wella;I like it
580;2;704;Hotel Wella;I don't like it
581;2;589;Park Güell;I don't like it
582;8;523;Park Güell;I like it
583;4;61;Sagrada Familia;I don't like it
584;9;407;Park Güell;I love it
585;3;793;Hotel Wella;I hate it
586;1;418;Hotel Wella;I hate it
587;8;626;Sagrada Familia;I love it
588;9;706;Park Güell;I love it
589;6;879;Hotel Wella;I love it
590;7;786;Hotel Wella;I like it
591;9;366;Sagrada Familia;I like it
592;2;901;Park Güell;I hate it
593;3;60;Sagrada Familia;I don't like it
594;6;762;Hotel Wella;I love it
595;7;159;Hotel Wella;I like it
596;2;64;Sagrada Familia;I don't like it
597;3;916;Sagrada Familia;I hate it
598;10;627;Park Güell;I like it
599;2;754;Hotel Wella;I don't like it
600;7;660;Sagrada Familia;I love it
601;4;568;Park Güell;I don't like it
602;2;197;Sagrada Familia;I hate it
603;10;199;Hotel Wella;I like it
604;7;469;Sagrada Familia;I like it
605;9;326;Hotel Wella;I love it
606;2;362;Park Güell;I don't like it
607;1;741;Sagrada Familia;I don't like it
608;3;518;Sagrada Familia;I hate it
609;10;622;Park Güell;I love it
610;5;656;Sagrada Familia;I like it
611;1;689;Park Güell;I don't like it
612;6;476;Park Güell;I love it
613;8;209;Hotel Wella;I love it
614;4;507;Park Güell;I don't like it
615;1;367;Hotel Wella;I hate it
616;2;777;Sagrada Familia;I don't like it
617;8;474;Hotel Wella;I love it
618;2;419;Park Güell;I don't like it
619;9;528;Park Güell;I like it
620;5;448;Park Güell;I like it
621;7;104;Hotel Wella;I love it
622;4;515;Sagrada Familia;I hate it
623;6;674;Sagrada Familia;I love it
624;8;110;Sagrada Familia;I love it
625;5;73;Park Güell;I like it
626;8;846;Sagrada Familia;I like it
627;4;285;Park Güell;I hate it
628;4;946;Sagrada Familia;I don't like it
629;7;585;Park Güell;I like it
630;9;839;Sagrada Familia;I love it
631;10;795;Park Güell;I love it
632;5;428;Hotel Wella;I like it
633;3;480;Sagrada Familia;I hate it
634;7;449;Park Güell;I love it
635;10;373;Hotel Wella;I love it
636;10;732;Sagrada Familia;I like it
637;5;278;Sagrada Familia;I love it
638;9;345;Park Güell;I love it
639;1;615;Park Güell;I hate it
640;2;552;Sagrada Familia;I don't like it
641;2;857;Hotel Wella;I don't like it
642;3;665;Sagrada Familia;I hate it
643;7;909;Park Güell;I love it
644;4;392;Park Güell;I hate it
645;4;10;Park Güell;I hate it
646;6;406;Hotel Wella;I love it
647;5;794;Park Güell;I like it
648;2;63;Sagrada Familia;I don't like it
649;7;440;Park Güell;I love it
650;7;298;Sagrada Familia;I love it
651;5;144;Hotel Wella;I love it
652;10;846;Sagrada Familia;I like it
653;10;348;Park Güell;I love it
654;5;603;Park Güell;I like it
655;2;167;Hotel Wella;I don't like it
656;10;247;Sagrada Familia;I love it
657;1;453;Park Güell;I don't like it
658;1;773;Hotel Wella;I don't like it
659;8;383;Park Güell;I like it
660;2;504;Hotel Wella;I don't like it
661;7;811;Park Güell;I like it
662;6;256;Hotel Wella;I love it
663;10;938;Park Güell;I like it
664;7;805;Hotel Wella;I love it
665;8;154;Hotel Wella;I love it
666;9;986;Hotel Wella;I like it
667;9;352;Sagrada Familia;I love it
668;4;473;Sagrada Familia;I don't like it
669;4;3;Sagrada Familia;I hate it
670;3;157;Hotel Wella;I don't like it
671;1;118;Park Güell;I hate it
672;4;918;Hotel Wella;I don't like it
673;9;293;Hotel Wella;I love it
674;1;532;Sagrada Familia;I don't like it
675;4;611;Sagrada Familia;I don't like it
676;2;831;Park Güell;I don't like it
677;1;94;Hotel Wella;I hate it
678;2;244;Hotel Wella;I don't like it
679;7;715;Park Güell;I love it
680;3;659;Sagrada Familia;I don't like it
681;10;858;Park Güell;I love it
682;8;925;Park Güell;I like it
683;8;566;Sagrada Familia;I love it
684;3;859;Park Güell;I don't like it
685;2;495;Hotel Wella;I hate it
686;8;602;Hotel Wella;I like it
687;10;839;Park Güell;I like it
688;5;730;Hotel Wella;I like it
689;1;561;Hotel Wella;I don't like it
690;1;192;Park Güell;I don't like it
691;9;191;Sagrada Familia;I love it
692;5;207;Sagrada Familia;I like it
693;3;72;Hotel Wella;I don't like it
694;1;20;Sagrada Familia;I hate it
695;9;525;Sagrada Familia;I love it
696;10;594;Park Güell;I love it
697;8;172;Sagrada Familia;I like it
698;7;871;Park Güell;I love it
699;6;481;Sagrada Familia;I love it
700;9;385;Sagrada Familia;I love it
701;10;724;Sagrada Familia;I love it
702;6;927;Park Güell;I like it
703;6;226;Hotel Wella;I love it
704;3;528;Sagrada Familia;I hate it
705;10;418;Sagrada Familia;I like it
706;7;883;Sagrada Familia;I like it
707;3;433;Hotel Wella;I hate it
708;2;721;Hotel Wella;I hate it
709;4;405;Park Güell;I don't like it
710;5;538;Hotel Wella;I like it
711;10;698;Park Güell;I like it
712;10;22;Sagrada Familia;I love it
713;1;180;Park Güell;I hate it
714;2;692;Hotel Wella;I hate it
715;3;112;Hotel Wella;I don't like it
716;10;430;Park Güell;I like it
717;4;943;Park Güell;I hate it
718;8;407;Sagrada Familia;I love it
719;4;464;Park Güell;I don't like it
720;2;752;Hotel Wella;I hate it
721;3;70;Park Güell;I hate it
722;10;690;Park Güell;I like it
723;1;85;Sagrada Familia;I don't like it
724;7;114;Hotel Wella;I love it
725;1;586;Park Güell;I hate it
726;3;549;Sagrada Familia;I don't like it
727;2;329;Hotel Wella;I don't like it
728;5;691;Sagrada Familia;I like it
729;1;575;Sagrada Familia;I hate it
730;1;638;Sagrada Familia;I hate it
731;10;866;Park Güell;I like it
732;8;817;Sagrada Familia;I love it
733;8;837;Sagrada Familia;I love it
734;6;690;Park Güell;I love it
735;3;825;Sagrada Familia;I hate it
736;6;260;Park Güell;I like it
737;5;327;Park Güell;I like it
